code,mets,major_heading,activity,flag,mhn,reason
8019.0,4.5,lawn and garden,"chopping wood, splitting logs, moderate effort",,4,General physical activity contributing to health and body needs.
8020.0,6.3,lawn and garden,"chopping wood, splitting logs, vigorous effort",,2,General physical activity contributing to health and body needs.
8025.0,3.5,lawn and garden,"clearing light brush, thinning garden, moderate effort",,4,Supports basic physical functioning and body maintenance.
8030.0,6.3,lawn and garden,"clearing brush/land, undergrowth, or ground, hauling branches, wheelbarrow chores, vigorous effort",,"2,4",General physical activity contributing to health and body needs.
8040.0,5.0,lawn and garden,"digging sandbox, shoveling sand",,5,General physical activity contributing to health and body needs.
8045.0,3.5,lawn and garden,"digging, spading, filling garden, composting, light-to-moderate effort",,5,Supports basic physical functioning and body maintenance.
8050.0,5.0,lawn and garden,"digging, spading, filling garden, compositing, (Taylor Code 590)",,5,General physical activity contributing to health and body needs.
8052.0,7.8,lawn and garden,"digging, spading, filling garden, composting, vigorous effort",,"4,5",General physical activity contributing to health and body needs.
8055.0,2.8,lawn and garden,driving tractor,,5,General physical activity contributing to health and body needs.
8057.0,8.3,lawn and garden,"felling trees, large size",,2,General physical activity contributing to health and body needs.
8058.0,5.3,lawn and garden,"felling trees, small-medium size",,2,General physical activity contributing to health and body needs.
8060.0,5.8,lawn and garden,"gardening with heavy power tools, tilling a garden, chain saw",,"4,5",General physical activity contributing to health and body needs.
8065.0,2.3,lawn and garden,"gardening, using containers, older adults > 60 years",,"3,4,5",General physical activity contributing to health and body needs.
8070.0,4.0,lawn and garden,"irrigation channels, opening and closing ports",,5,General physical activity contributing to health and body needs.
8080.0,6.3,lawn and garden,laying crushed rock,,5,General physical activity contributing to health and body needs.
8090.0,5.0,lawn and garden,laying sod,,4,General physical activity contributing to health and body needs.
8095.0,5.5,lawn and garden,"mowing lawn, general",,2,General physical activity contributing to health and body needs.
8100.0,2.5,lawn and garden,"mowing lawn, riding mower (Taylor Code 550)",,4,General physical activity contributing to health and body needs.
8110.0,6.0,lawn and garden,"mowing lawn, walk, hand mower (Taylor Code 570)",,"1,2,4",General physical activity contributing to health and body needs.
8120.0,5.0,lawn and garden,"mowing lawn, walk, power mower, moderate or vigorous effort",,2,General physical activity contributing to health and body needs.
8125.0,4.5,lawn and garden,"mowing lawn, power mower, light or moderate effort (Taylor Code 590)",,2,Supports basic physical functioning and body maintenance.
8130.0,2.5,lawn and garden,"operating snow blower, walking",,2,General physical activity contributing to health and body needs.
8135.0,2.0,lawn and garden,"planting, potting, transplanting seedlings or plants, light effort",,5,Supports basic physical functioning and body maintenance.
8140.0,4.3,lawn and garden,"planting seedlings, shrub, stooping, moderate effort",,5,General physical activity contributing to health and body needs.
8145.0,4.3,lawn and garden,"planting crops or garden, stooping, moderate effort",,5,General physical activity contributing to health and body needs.
8150.0,4.5,lawn and garden,planting trees,,"4,5",General physical activity contributing to health and body needs.
8160.0,3.8,lawn and garden,"raking lawn or leaves, moderate effort",,2,General physical activity contributing to health and body needs.
8165.0,4.0,lawn and garden,raking lawn (Taylor Code 600),,"2,4",General physical activity contributing to health and body needs.
8170.0,4.0,lawn and garden,raking roof with snow rake,,2,General physical activity contributing to health and body needs.
8180.0,3.0,lawn and garden,riding snow blower,,"2,4",General physical activity contributing to health and body needs.
8190.0,4.0,lawn and garden,"sacking grass, leaves",,4,General physical activity contributing to health and body needs.
8192.0,5.5,lawn and garden,shoveling dirt or mud,,5,General physical activity contributing to health and body needs.
8195.0,5.3,lawn and garden,"shoveling snow, by hand, moderate effort",,2,General physical activity contributing to health and body needs.
8200.0,6.0,lawn and garden,"shovelling snow, by hand (Taylor Code 610)",,2,General physical activity contributing to health and body needs.
8202.0,7.5,lawn and garden,"shoveling snow, by hand, vigorous effort",,2,General physical activity contributing to health and body needs.
8210.0,4.0,lawn and garden,"trimming shrubs or trees, manual cutter",,2,General physical activity contributing to health and body needs.
8215.0,3.5,lawn and garden,"trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort",,"2,4",General physical activity contributing to health and body needs.
8220.0,3.0,lawn and garden,"walking, applying fertilizer or seeding a lawn, push applicator",,5,General physical activity contributing to health and body needs.
8230.0,1.5,lawn and garden,"watering lawn or garden, standing or walking",,"4,5",General physical activity contributing to health and body needs.
8239.0,3.5,lawn and garden,"weeding, cultivating garden, light-to-moderate effort",,5,Supports basic physical functioning and body maintenance.
8240.0,4.5,lawn and garden,"weeding, cultivating garden (Taylor Code 580)",,5,General physical activity contributing to health and body needs.
8241.0,5.0,lawn and garden,"weeding, cultivating garden, using a hoe, moderate-to-vigorous effort",,"1,4,5",General physical activity contributing to health and body needs.
8245.0,3.8,lawn and garden,"gardening, general, moderate effort",,"1,4,5",General physical activity contributing to health and body needs.
8246.0,3.5,lawn and garden,"picking fruit off trees, picking fruits/vegetables, moderate effort",,1,General physical activity contributing to health and body needs.
8248.0,4.5,lawn and garden,"picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort",,1,General physical activity contributing to health and body needs.
8250.0,3.3,lawn and garden,"implied walking/standing - picking up yard, light, picking flowers or vegetables",,"1,4,5",Supports basic physical functioning and body maintenance.
8251.0,3.0,lawn and garden,"walking, gathering gardening tools",,5,General physical activity contributing to health and body needs.
8255.0,5.5,lawn and garden,"wheelbarrow, pushing garden cart or wheelbarrow",,5,General physical activity contributing to health and body needs.
8260.0,3.0,lawn and garden,"yard work, general, light effort",,"4,5",Supports basic physical functioning and body maintenance.
8261.0,4.0,lawn and garden,"yard work, general, moderate effort",,4,"Related to maintaining safety, stability, or health security."
8262.0,6.0,lawn and garden,"yard work, general, vigorous effort",,1,"Related to maintaining safety, stability, or health security."
9000.0,1.5,miscellaneous,"board game playing, sitting",,3,General physical activity contributing to health and body needs.
9005.0,2.5,miscellaneous,"casino gambling, standing",,4,General physical activity contributing to health and body needs.
9010.0,1.5,miscellaneous,"card playing, sitting",,4,General physical activity contributing to health and body needs.
9013.0,1.5,miscellaneous,"chess game, sitting",,5,General physical activity contributing to health and body needs.
9015.0,1.5,miscellaneous,"copying documents, standing",,1,General physical activity contributing to health and body needs.
9020.0,1.8,miscellaneous,"drawing, writing, painting, standing",,5,General physical activity contributing to health and body needs.
9025.0,1.0,miscellaneous,"laughing, sitting",,5,General physical activity contributing to health and body needs.
9030.0,1.3,miscellaneous,"sitting, reading, book, newspaper, etc.",,5,General physical activity contributing to health and body needs.
9040.0,1.3,miscellaneous,"sitting, writing, desk work, typing",,2,"Related to maintaining safety, stability, or health security."
9045.0,1.0,miscellaneous,"sitting, playing traditional video game, computer game",,"4,5",General physical activity contributing to health and body needs.
9050.0,1.8,miscellaneous,"standing, talking in person, on the phone, computer, or text messaging, light effort",,3,Supports basic physical functioning and body maintenance.
9055.0,1.5,miscellaneous,"sitting, talking in person, on the phone, computer, or text messaging, light effort",,3,Supports basic physical functioning and body maintenance.
9060.0,1.3,miscellaneous,"sitting, studying, general, including reading and/or writing, light effort",,5,Supports basic physical functioning and body maintenance.
9065.0,1.8,miscellaneous,"sitting, in class, general, including note-taking or class discussion",,5,General physical activity contributing to health and body needs.
9070.0,1.8,miscellaneous,"standing, reading",,5,General physical activity contributing to health and body needs.
9071.0,2.5,miscellaneous,"standing, miscellaneous",,1,General physical activity contributing to health and body needs.
9075.0,1.8,miscellaneous,"sitting, arts and crafts,  carving wood, weaving, spinning wool, light effort",,5,Supports basic physical functioning and body maintenance.
9080.0,3.0,miscellaneous,"sitting, arts and crafts,  carving wood, weaving, spinning wool, moderate effort",,5,General physical activity contributing to health and body needs.
9085.0,2.5,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, light effort",,"4,5",Supports basic physical functioning and body maintenance.
9090.0,3.3,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, moderate effort",,"4,5",General physical activity contributing to health and body needs.
9095.0,3.5,miscellaneous,"standing, arts and crafts, sand painting, carving, weaving, vigorous effort",,5,General physical activity contributing to health and body needs.
9100.0,1.8,miscellaneous,"retreat/family reunion activities involving sitting, relaxing, talking, eating",,"1,3",Supports basic physical functioning and body maintenance.
9101.0,3.0,miscellaneous,retreat/family reunion activities involving playing games with children,,3,Supports basic physical functioning and body maintenance.
9105.0,2.0,miscellaneous,touring/traveling/vacation involving riding in a vehicle,,5,General physical activity contributing to health and body needs.
9106.0,3.5,miscellaneous,touring/traveling/vacation involving walking,,5,General physical activity contributing to health and body needs.
9110.0,2.5,miscellaneous,"camping involving standing, walking, sitting, light-to-moderate effort",,1,Supports basic physical functioning and body maintenance.
9115.0,1.5,miscellaneous,"sitting at a sporting event, spectator",,"3,4",General physical activity contributing to health and body needs.
10010.0,1.8,music playing,"accordion, sitting",,5,General physical activity contributing to health and body needs.
10020.0,2.3,music playing,"cello, sitting",,"4,5",General physical activity contributing to health and body needs.
10030.0,2.3,music playing,"conducting orchestra, standing",,5,General physical activity contributing to health and body needs.
10035.0,2.5,music playing,"double bass, standing",,5,General physical activity contributing to health and body needs.
10040.0,3.8,music playing,"drums, sitting",,5,General physical activity contributing to health and body needs.
10045.0,3.0,music playing,"drumming (e.g., bongo, conga, benbe), moderate, sitting",,5,General physical activity contributing to health and body needs.
10050.0,2.0,music playing,"flute, sitting",,5,General physical activity contributing to health and body needs.
10060.0,1.8,music playing,"horn, standing",,5,General physical activity contributing to health and body needs.
10070.0,2.3,music playing,"piano, sitting",,5,General physical activity contributing to health and body needs.
10074.0,2.0,music playing,"playing musical instruments, general",,5,General physical activity contributing to health and body needs.
10077.0,2.0,music playing,"organ, sitting",,5,General physical activity contributing to health and body needs.
10080.0,3.5,music playing,"trombone, standing",,5,General physical activity contributing to health and body needs.
10090.0,1.8,music playing,"trumpet, standing",,5,General physical activity contributing to health and body needs.
10100.0,2.5,music playing,"violin, sitting",,5,General physical activity contributing to health and body needs.
10110.0,1.8,music playing,"woodwind, sitting",,5,General physical activity contributing to health and body needs.
10120.0,2.0,music playing,"guitar, classical, folk, sitting",,5,General physical activity contributing to health and body needs.
10125.0,3.0,music playing,"guitar, rock and roll band, standing",,5,General physical activity contributing to health and body needs.
10130.0,4.0,music playing,"marching band, baton twirling, walking, moderate pace, general",,5,General physical activity contributing to health and body needs.
10131.0,5.5,music playing,"marching band, playing an instrument, walking, brisk pace, general",,"3,4,5",General physical activity contributing to health and body needs.
10135.0,3.5,music playing,"marching band, drum major, walking",,5,General physical activity contributing to health and body needs.
11003.0,2.3,occupation,"active workstation, treadmill desk, walking",,1,"Related to maintaining safety, stability, or health security."
11006.0,3.0,occupation,airline flight attendant,,"1,2,3,4",Supports basic physical functioning and body maintenance.
11010.0,4.0,occupation,"bakery, general, moderate effort",,1,General physical activity contributing to health and body needs.
11015.0,2.0,occupation,"bakery, light effort",,1,Supports basic physical functioning and body maintenance.
11020.0,2.3,occupation,bookbinding,,4,General physical activity contributing to health and body needs.
11030.0,6.0,occupation,"building road, driving heavy machinery",,"1,2",General physical activity contributing to health and body needs.
11035.0,2.0,occupation,"building road, directing traffic, standing",,"1,2,4",General physical activity contributing to health and body needs.
11038.0,2.5,occupation,"carpentry, general, light effort",,4,Supports basic physical functioning and body maintenance.
11040.0,4.3,occupation,"carpentry, general, moderate effort",,4,General physical activity contributing to health and body needs.
11042.0,7.0,occupation,"carpentry, general, heavy or vigorous effort",,2,General physical activity contributing to health and body needs.
11050.0,8.0,occupation,"carrying heavy loads (e.g., bricks, tools)",,1,General physical activity contributing to health and body needs.
11060.0,8.0,occupation,"carrying moderate loads up stairs, moving boxes 25-49 lbs",,"1,2",General physical activity contributing to health and body needs.
11070.0,4.0,occupation,"chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart",,"1,2",General physical activity contributing to health and body needs.
11080.0,5.3,occupation,"coal mining, drilling coal, rock",,1,General physical activity contributing to health and body needs.
11090.0,5.0,occupation,"coal mining, erecting supports",,2,General physical activity contributing to health and body needs.
11100.0,5.5,occupation,"coal mining, general",,1,General physical activity contributing to health and body needs.
11110.0,6.3,occupation,"coal mining, shoveling coal",,1,General physical activity contributing to health and body needs.
11115.0,2.5,occupation,"cook, chef",,1,General physical activity contributing to health and body needs.
11120.0,4.0,occupation,"construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous)",,2,General physical activity contributing to health and body needs.
11125.0,2.3,occupation,"custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning)",,"1,2",Supports basic physical functioning and body maintenance.
11126.0,3.8,occupation,"custodial work, moderate effort (e.g., electric buffer, feathering arena floors, mopping, taking out trash, vacuuming)",,"1,2",Supports basic physical functioning and body maintenance.
11130.0,3.3,occupation,"electrical work (e.g., hook up wire, tapping-splicing)",,2,"Related to maintaining safety, stability, or health security."
11135.0,1.8,occupation,"engineer (e.g., mechanical or electrical)",,4,General physical activity contributing to health and body needs.
11145.0,7.8,occupation,"farming, vigorous effort (e.g., baling hay, cleaning barn)",,1,General physical activity contributing to health and body needs.
11146.0,4.8,occupation,"farming, moderate effort (e.g., feeding animals, chasing cattle by walking and/or horseback, spreading manure, harvesting crops)",,1,General physical activity contributing to health and body needs.
11147.0,2.0,occupation,"farming, light effort (e.g., cleaning animal sheds, preparing animal feed)",,1,Supports basic physical functioning and body maintenance.
11170.0,2.8,occupation,"farming, driving tasks (e.g., driving tractor or harvester)",,"1,2",General physical activity contributing to health and body needs.
11180.0,3.5,occupation,"farming, feeding small animals",,"1,2",General physical activity contributing to health and body needs.
11190.0,4.3,occupation,"farming, feeding cattle, horses",,"1,2,4",General physical activity contributing to health and body needs.
11191.0,4.3,occupation,"farming, hauling water for animals, general hauling water,farming, general hauling water",,1,General physical activity contributing to health and body needs.
11192.0,4.5,occupation,"farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing, medical care, branding), general",,"1,2,4",General physical activity contributing to health and body needs.
11195.0,3.8,occupation,"farming, rice, planting, grain milling activities",,1,General physical activity contributing to health and body needs.
11210.0,3.5,occupation,"farming, milking by hand, cleaning pails, moderate effort",,2,General physical activity contributing to health and body needs.
11220.0,1.3,occupation,"farming, milking by machine, light effort",,"1,2",Supports basic physical functioning and body maintenance.
11240.0,8.0,occupation,"fire fighter, general",,"4,5",General physical activity contributing to health and body needs.
11244.0,6.8,occupation,"fire fighter, rescue victim, automobile accident, using pike pole",,"2,3,4,5",General physical activity contributing to health and body needs.
11245.0,8.0,occupation,"fire fighter, raising and climbing ladder with full gear, simulated fire supression",,"2,4",General physical activity contributing to health and body needs.
11246.0,9.0,occupation,"fire fighter, hauling hoses on ground, carrying/hoisting equipment, breaking down walls etc., wearing full gear",,2,General physical activity contributing to health and body needs.
11247.0,3.5,occupation,"fishing, commercial, light effort",,2,Supports basic physical functioning and body maintenance.
11248.0,5.0,occupation,"fishing, commercial, moderate effort",,2,General physical activity contributing to health and body needs.
11249.0,7.0,occupation,"fishing, commercial, vigorous effort",,1,General physical activity contributing to health and body needs.
11250.0,17.5,occupation,"forestry, ax chopping, very fast, 1.25 kg axe, 51 blows/min, extremely vigorous effort",,1,Supports basic physical functioning and body maintenance.
11260.0,5.0,occupation,"forestry, ax chopping, slow, 1.25 kg axe, 19 blows/min, moderate effort",,1,Supports basic physical functioning and body maintenance.
11262.0,8.0,occupation,"forestry, ax chopping, fast, 1.25 kg axe, 35 blows/min, vigorous effort",,1,Supports basic physical functioning and body maintenance.
11264.0,4.5,occupation,"forestry, moderate effort (e.g., sawing wood with power saw, weeding, hoeing)",,2,Supports basic physical functioning and body maintenance.
11266.0,8.0,occupation,"forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand)",,"1,2,4",Supports basic physical functioning and body maintenance.
11370.0,4.5,occupation,furriery,,2,General physical activity contributing to health and body needs.
11375.0,4.0,occupation,"garbage collector, walking, dumping bins into truck",,"1,2",General physical activity contributing to health and body needs.
11378.0,1.8,occupation,"hairstylist (e.g., plaiting hair, manicure, make-up artist)",,"4,5",General physical activity contributing to health and body needs.
11380.0,7.3,occupation,"horse grooming, including feeding, cleaning stalls, bathing, brushing, clipping, longeing and exercising horses",,"1,2,3,4",General physical activity contributing to health and body needs.
11381.0,4.3,occupation,"horse, feeding, watering, cleaning stalls, implied walking and lifting loads",,1,General physical activity contributing to health and body needs.
11390.0,7.3,occupation,"horse racing, galloping",,"1,2,4","Involves achievement, recognition, or building self-esteem."
11400.0,5.8,occupation,"horse racing, trotting",,4,"Involves achievement, recognition, or building self-esteem."
11410.0,3.8,occupation,"horse racing, walking",,"1,2","Involves achievement, recognition, or building self-esteem."
11413.0,3.0,occupation,kitchen maid,,"1,2",General physical activity contributing to health and body needs.
11415.0,4.0,occupation,"lawn keeper, yard work, general",,"1,2","Related to maintaining safety, stability, or health security."
11418.0,3.3,occupation,laundry worker,,"1,2","Related to maintaining safety, stability, or health security."
11420.0,3.0,occupation,locksmith,,2,General physical activity contributing to health and body needs.
11430.0,3.0,occupation,"machine tooling (e.g., machining, working sheet metal, machine fitter, operating lathe, welding) light-to-moderate effort",,"1,2,4",Supports basic physical functioning and body maintenance.
11450.0,5.0,occupation,"Machine tooling, operating punch press, moderate effort",,1,General physical activity contributing to health and body needs.
11472.0,1.8,occupation,"manager, property",,"1,2,4",General physical activity contributing to health and body needs.
11475.0,2.8,occupation,"manual or unskilled labor, general, light effort",,"1,2",Supports basic physical functioning and body maintenance.
11476.0,4.5,occupation,"manual or unskilled labor, general, moderate effort",,"1,2",General physical activity contributing to health and body needs.
11477.0,6.5,occupation,"manual or unskilled labor, general, vigorous effort",,"1,2",General physical activity contributing to health and body needs.
11480.0,4.3,occupation,"masonry, concrete, moderate effort",,2,General physical activity contributing to health and body needs.
11482.0,2.5,occupation,"masonry, concrete, light effort",,1,Supports basic physical functioning and body maintenance.
11485.0,4.0,occupation,"massage therapist, standing",,"1,2",General physical activity contributing to health and body needs.
11490.0,7.5,occupation,"moving, carrying or pushing heavy objects, 75 lbs or more, only active time (e.g., desks, moving van work)",,1,"Related to maintaining safety, stability, or health security."
11495.0,12.0,occupation,"skindiving or SCUBA diving as a frogman, Navy Seal",,"3,4,5",General physical activity contributing to health and body needs.
11500.0,2.5,occupation,"operating heavy duty equipment, automated, not driving",,"1,2,3,4",General physical activity contributing to health and body needs.
11510.0,4.5,occupation,"orange grove work, picking fruit",,"1,2","Related to maintaining safety, stability, or health security."
11514.0,3.3,occupation,"painting,house, furniture, moderate effort",,4,General physical activity contributing to health and body needs.
11516.0,3.0,occupation,plumbing activities,,2,General physical activity contributing to health and body needs.
11520.0,2.0,occupation,"printing, paper industry worker, standing",,"1,2","Related to maintaining safety, stability, or health security."
11525.0,2.5,occupation,"police, directing traffic, standing",,"1,2",General physical activity contributing to health and body needs.
11526.0,2.5,occupation,"police, driving a squad car, sitting",,"2,4",General physical activity contributing to health and body needs.
11527.0,1.3,occupation,"police, riding in a squad car, sitting",,"1,2,3,4",General physical activity contributing to health and body needs.
11528.0,4.0,occupation,"police, making an arrest, standing",,"2,4",Supports basic physical functioning and body maintenance.
11529.0,2.3,occupation,"postal carrier, walking to deliver mail",,"1,2,3",General physical activity contributing to health and body needs.
11530.0,2.0,occupation,"shoe repair, general",,4,General physical activity contributing to health and body needs.
11540.0,7.8,occupation,"shoveling, digging ditches",,"1,2",General physical activity contributing to health and body needs.
11550.0,8.8,occupation,"shoveling, more than 16 lbs/minute, deep digging, vigorous effort",,1,General physical activity contributing to health and body needs.
11560.0,5.0,occupation,"shoveling, less than 10 lbs/minute, moderate effort",,1,General physical activity contributing to health and body needs.
11570.0,6.5,occupation,"shoveling, 10 to 15 lbs/minute, vigorous effort",,2,General physical activity contributing to health and body needs.
11580.0,1.5,occupation,"sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work)",,"1,2",Supports basic physical functioning and body maintenance.
11585.0,1.5,occupation,"sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)",,4,Supports basic physical functioning and body maintenance.
11590.0,2.5,occupation,"sitting tasks, moderate effort (e.g., pushing heavy levers, riding mower/forklift, crane operation)",,2,General physical activity contributing to health and body needs.
11593.0,2.8,occupation,"sitting, teaching stretching or yoga, or light effort exercise class",,5,Supports basic physical functioning and body maintenance.
11600.0,3.0,occupation,"standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work,",,"1,2,3,4",Supports basic physical functioning and body maintenance.
,,,"changing clothes when teaching physical education, standing)",,2,General physical activity contributing to health and body needs.
11610.0,3.0,occupation,"standing, light/moderate effort (e.g., assemble/repair heavy parts, welding,stocking parts,auto repair,standing, packing boxes, nursing patient care)",,1,Supports basic physical functioning and body maintenance.
11615.0,4.5,occupation,"standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting",,1,Supports basic physical functioning and body maintenance.
11620.0,3.5,occupation,"standing, moderate effort, intermittent lifting 50 lbs, hitch/twisting ropes",,2,General physical activity contributing to health and body needs.
11630.0,4.5,occupation,"standing, moderate/heavy tasks (e.g., lifting more than 50 lbs, masonry, painting, paper hanging)",,2,General physical activity contributing to health and body needs.
11708.0,5.3,occupation,"steel mill, moderate effort (e.g., fettling, forging, tipping molds)",,1,General physical activity contributing to health and body needs.
11710.0,8.3,occupation,"steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace)",,"2,4",General physical activity contributing to health and body needs.
11720.0,2.3,occupation,"tailoring, cutting fabric",,2,General physical activity contributing to health and body needs.
11730.0,2.5,occupation,"tailoring, general",,"1,2",General physical activity contributing to health and body needs.
11740.0,1.8,occupation,"tailoring, hand sewing",,4,General physical activity contributing to health and body needs.
11750.0,2.5,occupation,"tailoring, machine sewing",,"1,2",General physical activity contributing to health and body needs.
11760.0,3.5,occupation,"tailoring, pressing",,2,General physical activity contributing to health and body needs.
11763.0,2.0,occupation,"tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)",,4,Supports basic physical functioning and body maintenance.
11765.0,4.0,occupation,"tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yam to spinners, loading of warp bean, pinwinding,",,"1,2",General physical activity contributing to health and body needs.
,,,"conewinding, warping, cloth cutting)",,2,General physical activity contributing to health and body needs.
11766.0,6.5,occupation,"truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads",,"1,2",General physical activity contributing to health and body needs.
11767.0,2.0,occupation,"Truch, driving delivery truck, taxi, shuttlebus, school bus",,"2,4",General physical activity contributing to health and body needs.
11770.0,1.3,occupation,"typing, electric, manual or computer",,"1,2",General physical activity contributing to health and body needs.
11780.0,6.3,occupation,"using heavy power tools such as pneumatic tools (e.g., jackhammers, drills)",,4,General physical activity contributing to health and body needs.
11790.0,8.0,occupation,"using heavy tools (not power) such as shovel, pick, tunnel bar, spade",,4,General physical activity contributing to health and body needs.
11791.0,2.0,occupation,"walking on job, less than 2.0 mph, very slow speed, in office or lab area",,2,Supports basic physical functioning and body maintenance.
11792.0,3.5,occupation,"walking on job, 3.0 mph, in office, moderate speed, not carrying anything",,2,General physical activity contributing to health and body needs.
11793.0,4.3,occupation,"walking on job, 3.5 mph, in office, brisk speed, not carrying anything",,2,General physical activity contributing to health and body needs.
11795.0,3.5,occupation,"walking on job, 2.5 mph, slow speed and carrying light objects less than 25 lbs",,"1,2",Supports basic physical functioning and body maintenance.
11796.0,3.0,occupation,"walking, gathering things at work, ready to leave",,"1,2","Related to maintaining safety, stability, or health security."
11797.0,3.8,occupation,"walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs",,4,Supports basic physical functioning and body maintenance.
11800.0,4.5,occupation,"walking, 3.0 mph, moderately and carrying light objects less than 25 lbs",,2,Supports basic physical functioning and body maintenance.
11805.0,3.5,occupation,"walking, pushing a wheelchair",,1,General physical activity contributing to health and body needs.
11810.0,4.8,occupation,"walking, 3.5 mph, briskly and carrying objects less than 25 lbs",,2,General physical activity contributing to health and body needs.
11820.0,5.0,occupation,"walking or walk downstairs or standing, carrying objects about 25 to 49 lbs",,"1,2",General physical activity contributing to health and body needs.
11830.0,6.5,occupation,"walking or walk downstairs or standing, carrying objects about 50 to 74 lbs",,2,General physical activity contributing to health and body needs.
11840.0,7.5,occupation,"walking or walk downstairs or standing, carrying objects about 75 to 99 lbs",,"1,2,3,4,5",General physical activity contributing to health and body needs.
11850.0,8.5,occupation,"walking or walk downstairs or standing, carrying objects about 100 lbs or more",,1,General physical activity contributing to health and body needs.
11870.0,3.0,occupation,"working in scene shop, theater actor, backstage employee",,"1,4",Supports basic physical functioning and body maintenance.
12010.0,6.0,running,jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180),,1,General physical activity contributing to health and body needs.
12020.0,7.0,running,"jogging, general",,1,General physical activity contributing to health and body needs.
12025.0,8.0,running,"jogging, in place",,1,General physical activity contributing to health and body needs.
12027.0,4.5,running,"jogging, on a mini-tramp",,"1,4",General physical activity contributing to health and body needs.
12029.0,6.0,running,"Running, 4 mph (13 min/mile)",,1,General physical activity contributing to health and body needs.
12030.0,8.3,running,"running, 5 mph (12 min/mile)",,1,General physical activity contributing to health and body needs.
12040.0,9.0,running,"running, 5.2 mph (11.5 min/mile)",,"1,4",General physical activity contributing to health and body needs.
12050.0,9.8,running,"running, 6 mph (10 min/mile)",,"1,4",General physical activity contributing to health and body needs.
12060.0,10.5,running,"running, 6.7 mph (9 min/mile)",,4,General physical activity contributing to health and body needs.
12070.0,11.0,running,"running, 7 mph (8.5 min/mile)",,1,General physical activity contributing to health and body needs.
12080.0,11.5,running,"running, 7.5 mph (8 min/mile)",,"1,4",General physical activity contributing to health and body needs.
12090.0,11.8,running,"running, 8 mph (7.5 min/mile)",,1,General physical activity contributing to health and body needs.
12100.0,12.3,running,"running, 8.6 mph (7 min/mile)",,1,General physical activity contributing to health and body needs.
12110.0,12.8,running,"running, 9 mph (6.5 min/mile)",,"1,4",General physical activity contributing to health and body needs.
12120.0,14.5,running,"running, 10 mph (6 min/mile)",,1,General physical activity contributing to health and body needs.
12130.0,16.0,running,"running, 11 mph (5.5 min/mile)",,"1,4",General physical activity contributing to health and body needs.
12132.0,19.0,running,"running, 12 mph (5 min/mile)",,4,General physical activity contributing to health and body needs.
12134.0,19.8,running,"running, 13 mph (4.6 min/mile)",,"1,3,4",General physical activity contributing to health and body needs.
12135.0,23.0,running,"running, 14 mph (4.3 min/mile)",,1,General physical activity contributing to health and body needs.
12140.0,9.0,running,"running, cross country",,1,General physical activity contributing to health and body needs.
12150.0,8.0,running,"running, (Taylor code 200)",,"1,3,4",General physical activity contributing to health and body needs.
12170.0,15.0,running,"running, stairs, up",,1,General physical activity contributing to health and body needs.
12180.0,10.0,running,"running, on a track, team practice",,"4,5",Involves social connection or group belonging.
12190.0,8.0,running,"running, training, pushing a wheelchair or baby carrier",,1,"Related to maintaining safety, stability, or health security."
12200.0,13.3,running,"running, marathon",,1,General physical activity contributing to health and body needs.
13000.0,2.3,self care,"getting ready for bed, general, standing",,1,General physical activity contributing to health and body needs.
13009.0,1.8,self care,"sitting on toilet, eliminating while standing or squating",,1,General physical activity contributing to health and body needs.
13010.0,1.5,self care,"bathing, sitting",,1,General physical activity contributing to health and body needs.
13020.0,2.5,self care,"dressing, undressing, standing or sitting",,1,General physical activity contributing to health and body needs.
13030.0,1.5,self care,"eating, sitting",,"1,2",Supports basic physical functioning and body maintenance.
13035.0,2.0,self care,"talking and eating or eating only, standing",,1,Supports basic physical functioning and body maintenance.
13036.0,1.5,self care,"taking medication, sitting or standing",,1,General physical activity contributing to health and body needs.
13040.0,2.0,self care,"grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing",,"1,4",General physical activity contributing to health and body needs.
13045.0,2.5,self care,"hairstyling, standing",,1,General physical activity contributing to health and body needs.
